Job index,Operation index,Machine index,Grey processing time
1,1,3,"[2.8,3.1):0.3 | [3.1]:0.6 | [3.2]:0.1"
1,1,4,"[4.9]:0.19 | [5.0]:0.19 | (5.0,5.2):0.03 | [5.2]:0.19 | [5.3]:0.36 | [5.4]:0.03"
1,1,1,[2.9]:0.25 | [3.0]:0.75
1,1,6,[5.5]:0.31 | [5.6]:0.31 | [5.7]:0.31 | [5.8]:0.06
1,1,2,[1.8]:1.0
1,1,5,[2.8]:0.7 | [2.9]:0.3
1,2,6,[4.9]:0.21 | [5.0]:0.21 | [5.1]:0.38 | [5.2]:0.21
1,2,3,"[4.0]:0.55 | (4.0,4.2):0.05 | [4.2]:0.3 | (4.2,4.4]:0.1"
1,3,1,[1.0]:1.0
1,3,5,[5.8]:0.39 | [5.9]:0.56 | [6.0]:0.06
1,3,3,"[2.8]:0.03 | [2.9]:0.19 | [3.0]:0.19 | (3.0,3.2):0.03 | [3.2]:0.53 | [3.3]:0.03"
1,3,4,"[2.8,3.0):0.1 | [3.0]:0.45 | [3.1]:0.45"
1,3,2,"[6.2]:0.21 | (6.2,6.4):0.04 | [6.4]:0.71 | [6.5]:0.04"
1,3,6,[4.5]:0.62 | [4.6]:0.38
1,4,2,"[5.4]:0.03 | [5.5]:0.37 | (5.5,5.9):0.1 | [5.9]:0.37 | (5.9,6.3]:0.13"
1,5,6,"[2.8]:0.04 | [2.9]:0.29 | [3.0]:0.29 | (3.0,3.2):0.04 | [3.2]:0.29 | [3.3]:0.04"
1,5,5,"[5.6]:0.24 | [5.7]:0.64 | (5.7,6.0]:0.12"
1,6,3,[2.1]:1.0
1,6,2,[0.9]:0.83 | [1.0]:0.17
1,6,5,"[3.8,4.0):0.06 | [4.0]:0.23 | [4.1]:0.63 | (4.1,4.4]:0.09"
2,1,6,[0.9]:0.11 | [1.0]:0.78 | [1.1]:0.11
2,1,5,"[5.9]:0.06 | [6.0]:0.31 | (6.0,6.2):0.06 | [6.2]:0.56"
2,1,1,[3.1]:0.38 | [3.2]:0.62
2,1,2,"[3.8,4.1):0.21 | [4.1]:0.57 | (4.1,4.4]:0.21"
2,1,4,[1.9]:0.47 | [2.0]:0.27 | [2.1]:0.27
2,2,6,"[2.9]:0.67 | (2.9,3.1]:0.33"
2,2,5,[6.4]:0.39 | [6.5]:0.56 | [6.6]:0.06
2,3,5,[1.9]:1.0
2,4,2,[3.7]:0.07 | [3.8]:0.87 | [3.9]:0.07
2,4,3,"[2.7]:0.45 | (2.7,2.9):0.05 | [2.9]:0.25 | [3.0]:0.25"
2,5,3,"[1.9]:0.12 | [2.0]:0.62 | (2.0,2.2]:0.25"
2,5,2,[0.9]:1.0
2,5,5,[3.7]:0.75 | [3.8]:0.25
2,6,3,[2.9]:1.0
2,6,4,"[4.8,5.2):0.25 | [5.2]:0.56 | (5.2,5.5]:0.19"
2,6,1,"[2.9]:0.3 | (2.9,3.1):0.05 | [3.1]:0.3 | (3.1,3.3):0.05 | [3.3]:0.3"
2,6,6,[5.5]:0.25 | [5.6]:0.75
2,6,2,[2.0]:0.42 | [2.1]:0.58
2,6,5,[2.8]:1.0
3,1,1,[0.9]:0.92 | [1.0]:0.08
3,1,5,[5.6]:0.08 | [5.7]:0.42 | [5.8]:0.42 | [5.9]:0.08
3,1,3,[3.2]:1.0
3,1,4,"[2.7]:0.03 | [2.8]:0.23 | (2.8,3.0):0.03 | [3.0]:0.23 | [3.1]:0.23 | [3.2]:0.23"
3,1,2,"[5.6,5.8):0.11 | [5.8]:0.56 | (5.8,6.4]:0.33"
3,1,6,[4.7]:0.17 | [4.8]:0.67 | [4.9]:0.17
3,2,5,[2.9]:0.05 | [3.0]:0.45 | [3.1]:0.25 | [3.2]:0.25
3,2,4,[6.1]:0.25 | [6.2]:0.25 | [6.3]:0.25 | [6.4]:0.25
3,2,2,[3.6]:0.25 | [3.7]:0.75
3,2,6,"[5.6]:0.05 | [5.7]:0.55 | (5.7,5.9):0.05 | [5.9]:0.3 | [6.0]:0.05"
3,2,3,"[5.5,5.7):0.08 | [5.7]:0.54 | (5.7,6.6]:0.38"
3,2,1,[2.1]:0.58 | [2.2]:0.42
3,3,3,"[1.8,2.1):0.38 | [2.1]:0.62"
3,3,2,[0.9]:0.17 | [1.0]:0.83
3,3,5,[4.0]:0.42 | [4.1]:0.58
3,4,3,"[4.9]:0.19 | (4.9,5.1):0.03 | [5.1]:0.53 | (5.1,5.4):0.06 | [5.4]:0.19"
3,4,1,"[4.0,4.2):0.2 | [4.2]:0.6 | (4.2,4.4]:0.2"
3,4,2,"[2.7]:0.67 | (2.7,2.9]:0.33"
3,4,6,[2.8]:0.3 | [2.9]:0.7
3,4,5,[1.8]:0.21 | [1.9]:0.38 | [2.0]:0.21 | [2.1]:0.21
3,5,4,[1.0]:1.0
3,5,1,[5.3]:0.27 | [5.4]:0.27 | [5.5]:0.47
3,5,2,[3.8]:0.33 | [3.9]:0.33 | [4.0]:0.33
3,5,5,"[4.7,5.0):0.07 | [5.0]:0.22 | [5.1]:0.22 | (5.1,5.3):0.02 | [5.3]:0.22 | [5.4]:0.22 | [5.5]:0.02"
3,5,3,[3.1]:0.7 | [3.2]:0.3
3,5,6,[2.8]:0.21 | [2.9]:0.38 | [3.0]:0.38 | [3.1]:0.04
3,6,6,[2.9]:0.07 | [3.0]:0.87 | [3.1]:0.07
3,6,1,"[3.8]:0.03 | [3.9]:0.23 | (3.9,4.1):0.03 | [4.1]:0.23 | [4.2]:0.23 | [4.3]:0.23"
3,6,4,"[5.5,5.8):0.09 | [5.8]:0.28 | [5.9]:0.28 | (5.9,6.1):0.03 | [6.1]:0.28 | [6.2]:0.03"
3,6,3,"[6.2]:0.56 | (6.2,6.4):0.06 | [6.4]:0.31 | [6.5]:0.06"
3,6,5,[3.0]:0.33 | [3.1]:0.58 | [3.2]:0.08
4,1,3,"[4.9,5.2):0.12 | [5.2]:0.44 | [5.3]:0.44"
4,1,1,[4.2]:0.17 | [4.3]:0.83
4,1,2,[2.9]:0.58 | [3.0]:0.42
4,1,6,[2.9]:0.83 | [3.0]:0.17
4,1,5,[2.1]:1.0
4,2,6,[1.0]:1.0
4,2,5,[6.0]:0.03 | [6.1]:0.37 | [6.2]:0.2 | [6.3]:0.37 | [6.4]:0.03
4,2,1,"[3.0,3.3):0.38 | [3.3]:0.62"
4,2,2,"[3.9]:0.03 | [4.0]:0.23 | (4.0,4.2):0.03 | [4.2]:0.23 | [4.3]:0.23 | [4.4]:0.23"
4,2,4,"[1.8]:0.21 | (1.8,2.0):0.04 | [2.0]:0.38 | [2.1]:0.38"
4,3,2,[6.0]:0.25 | [6.1]:0.75
4,4,1,[1.0]:0.75 | [1.1]:0.25
4,4,5,[6.2]:0.75 | [6.3]:0.25
4,4,3,[3.3]:1.0
4,4,4,[3.0]:0.62 | [3.1]:0.38
4,4,2,"[5.7,6.2):0.16 | [6.2]:0.28 | (6.2,6.4):0.03 | [6.4]:0.53"
4,4,6,[4.7]:0.25 | [4.8]:0.25 | [4.9]:0.25 | [5.0]:0.25
4,5,1,[3.9]:0.44 | [4.0]:0.44 | [4.1]:0.11
4,5,4,[4.5]:1.0
4,5,2,[3.2]:1.0
4,5,6,[3.1]:0.62 | [3.2]:0.38
4,5,5,[3.8]:0.08 | [3.9]:0.58 | [4.0]:0.33
4,6,4,[1.1]:1.0
4,6,1,"[4.7,5.1):0.08 | [5.1]:0.52 | (5.1,5.4):0.04 | [5.4]:0.35"
4,6,2,[4.1]:0.42 | [4.2]:0.58
4,6,5,"[4.9]:0.67 | (4.9,5.1]:0.33"
4,6,3,"[2.9,3.1):0.25 | [3.1]:0.62 | [3.2]:0.12"
4,6,6,[2.8]:1.0
5,1,5,"[2.8,3.0):0.1 | [3.0]:0.55 | (3.0,3.2):0.05 | [3.2]:0.3"
5,1,4,"[5.7]:0.02 | [5.8]:0.42 | (5.8,6.2):0.07 | [6.2]:0.22 | (6.2,6.4):0.02 | [6.4]:0.22 | [6.5]:0.02"
5,1,2,[3.8]:0.03 | [3.9]:0.23 | [4.0]:0.23 | [4.1]:0.23 | [4.2]:0.23 | [4.3]:0.03
5,1,6,[6.4]:1.0
5,1,3,"[5.5,5.7):0.05 | [5.7]:0.36 | [5.8]:0.19 | (5.8,6.0):0.02 | [6.0]:0.19 | [6.1]:0.19"
5,1,1,"[1.9]:0.42 | (1.9,2.1):0.08 | [2.1]:0.42 | [2.2]:0.08"
5,2,1,[3.8]:0.17 | [3.9]:0.67 | [4.0]:0.17
5,2,4,"[4.7]:0.25 | (4.7,4.9):0.05 | [4.9]:0.65 | [5.0]:0.05"
5,2,2,[2.9]:0.08 | [3.0]:0.42 | [3.1]:0.42 | [3.2]:0.08
5,2,6,[3.0]:0.5 | [3.1]:0.5
5,2,5,"[3.6]:0.35 | [3.7]:0.19 | (3.7,3.9):0.02 | [3.9]:0.19 | (3.9,4.1):0.02 | [4.1]:0.19 | (4.1,4.4]:0.06"
5,3,4,[2.8]:0.11 | [2.9]:0.78 | [3.0]:0.11
5,4,6,[3.1]:1.0
5,4,1,[3.8]:0.5 | [3.9]:0.5
5,4,4,[6.1]:0.25 | [6.2]:0.75
5,4,3,[6.0]:0.08 | [6.1]:0.42 | [6.2]:0.42 | [6.3]:0.08
5,4,5,[3.1]:1.0
5,5,6,[1.0]:0.17 | [1.1]:0.83
5,5,5,"[5.7,6.1):0.25 | [6.1]:0.56 | (6.1,6.4]:0.19"
5,5,1,"[2.8]:0.33 | (2.8,3.0):0.08 | [3.0]:0.58"
5,5,2,"[3.7]:0.4 | (3.7,4.0):0.13 | [4.0]:0.4 | [4.1]:0.07"
5,5,4,"[1.9]:0.33 | (1.9,2.1):0.08 | [2.1]:0.58"
5,6,2,[3.9]:0.31 | [4.0]:0.31 | [4.1]:0.31 | [4.2]:0.06
5,6,3,[2.9]:0.75 | [3.0]:0.25
6,1,6,[2.7]:0.04 | [2.8]:0.38 | [2.9]:0.21 | [3.0]:0.38
6,1,1,[4.1]:1.0
